server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
2261.2198691368103,2279.470238685608,2227.680897474289;2242.849462747574;2251.9374647140503,2270.4533338546753,2230.8409075737;2242.9441442489624;2258.066546678543,2270.451436519623,2251.7852067947388,2279.469064950943,2227.7965989112854;2236.9342410564423;2249.0627524852753;2261.1700587272644,2270.380267381668,2224.6822459697723;2236.836094379425;2248.975160598755;2258.091085910797,2270.454890727997
2322.1962010860443,2343.4335820674896,2291.760223388672;2303.940171480179;2319.117697238922,2331.3827629089355,2291.701210975647;2303.8676569461823;2316.0884263515472,2331.37770819664,2315.694358110428,2343.432446718216,2291.7760877609253;2304.0089235305786;2319.1330494880676,2331.420993089676,2288.706935405731;2300.831224679947;2313.026787996292;2322.140342950821,2331.388571739197
2389.224706172943,2407.492642402649,2358.9081099033356;2371.0383677482605;2386.222817659378,2395.394441843033,2358.925769329071;2371.0596857070923;2383.223699092865,2398.475571870804,2379.9052283763885,2407.491548538208,2352.8172569274902;2364.9306161403656;2377.0304737091064;2389.1492178440094,2398.482818841934,2355.910793542862;2365.0137951374054;2377.1253521442413;2386.2515275478363,2398.3943150043488
2456.2057871818542,2474.4584436416626,2422.737634420395;2431.8592805862427;2444.0080077648163;2456.1515588760376,2462.431305170059,2422.786849975586;2437.8941864967346;2453.015552997589,2471.50337266922,2446.8403470516205,2474.4572801589966,2419.7755925655365;2431.920926094055;2444.0279598236084;2453.1712613105774,2471.5057282447815,2419.797704935074;2428.934923171997;2441.023307323456;2453.154210329056,2462.495507001877
2520.4146955013275,2541.595705986023,2486.97590303421;2499.125489473343;2514.226663827896,2529.6357896327972,2486.725944519043;2499.071009874344;2511.2099089622498,2529.5810940265656,2510.978075504303,2541.5949041843414,2483.7276315689087;2496.0342366695404;2508.1905047893524;2520.3448820114136,2526.5763330459595,2486.9526042938232;2496.1281304359436;2508.250157594681;2520.358318567276,2526.6270213127136
2590.488616704941,2611.712963104248,2553.96839261055;2569.1472914218903;2581.320378303528,2599.704093694687,2554.0442867279053;2569.2016150951385;2581.344582796097,2599.626091480255,2581.041528940201,2611.7117500305176,2554.021425008774;2566.161637544632;2578.3350434303284;2590.4363129138947,2596.6978707313538,2553.915398836136;2566.106593847275;2578.276120901108;2587.4090015888214,2599.706463098526
2657.5267884731293,2675.692600250244,2627.088177204132;2639.223795413971;2651.358564376831,2666.769132375717,2624.1023881435394;2636.2263345718384;2648.351536512375,2666.7646420001984,2648.0929176807404,2675.6914517879486,2624.076672077179;2636.2461009025574;2645.370470046997;2657.47606921196,2666.761066198349,2623.9722080230713;2633.123458147049;2645.2433710098267;2657.391583442688,2666.76225399971
2724.4716856479645,2742.7149665355682,2690.900735139847;2703.070984840393;2712.2270028591156;2724.3798773288727,2733.7019052505493,2687.939471721649;2697.097990989685;2709.2364823818207;2718.3656606674194,2733.697127342224,2714.898002386093,2742.7137911319733,2687.9616553783417;2700.11786031723;2712.3130843639374;2721.432286977768,2733.7003698349,2690.982523918152;2703.1272048950195;2712.2933011054993;2724.4071395397186,2733.6981263160706
2791.2837755680084,2809.542273044586,2757.9760677814484;2773.153781890869;2785.3048696517944,2809.5409305095673,2757.890613555908;2770.0193572044373;2779.127832174301;2791.226285457611,2800.5259943008423,2782.0397951602936,2809.4708800315857,2754.9725580215454;2764.1139879226685;2776.2360396385193;2788.3402581214905,2797.45827794075,2761.0074038505554;2773.167970895767;2782.328491449356,2800.5328879356384
2861.234087705612,2879.4780356884003,2824.87641787529;2837.0217616558075;2849.171313047409,2870.406215906143,2824.852867603302;2837.00039768219;2861.180698633194,2870.4666850566864,2845.885092496872,2879.4769146442413,2821.848481655121;2833.9839408397675;2846.135822057724,2870.4039833545685,2821.754537343979;2833.890631914139;2843.0253417491913;2855.150163412094,2867.4574177265167
2925.337490797043,2943.6242537498474,2891.7966504096985;2906.99663066864;2922.097920894623,2937.6215467453003,2894.7235140800476;2906.808921098709;2921.900353193283,2934.58193731308,2915.8390974998474,2943.6231055259705,2891.850847005844;2901.0028400421143;2916.143262386322,2931.5794892311096,2891.8755576610565;2901.030488014221;2913.1668796539307;2925.2865493297577,2931.5859928131104
2986.3016324043274,3010.4715297222137,2958.991104364395;2968.1287956237793;2980.275406599045,2995.4788765907288,2958.881644964218;2976.9903597831726;2986.092351436615,2995.505904197693,2980.033650159836,3010.4704234600067,2955.9576070308685;2968.107145547867;2980.2609453201294,2995.5050072669983,2959.023865699768;2977.142525434494;2986.253118276596,2995.5067994594574
3050.1159744262695,3068.3536648750305,3022.8412284851074;3035.240878343582;3047.3672983646393,3059.279984474182,3025.8154187202454;3037.935185432434;3050.023588180542,3059.3404955863953,3043.8670818805695,3068.3525388240814,3022.817373752594;3035.25532078743;3047.3880553245544,3059.338275194168,3028.7981860637665;3043.892604827881,3068.2896163463593
3126.077000617981,3147.3745381832123,3080.569015264511;3095.6921536922455;3107.7893068790436,3132.354203224182,3080.63969373703;3092.799385547638;3104.8879125118256,3135.3645095825195,3101.6817173957825,3147.3738260269165,3077.6368083953857;3089.7689814567566;3110.9229662418365,3135.370241880417,3077.560479402542;3089.7853302955627;3098.9177153110504;3126.0223517417908,3132.358475923538
3187.059146165848,3208.326445579529,3159.7081706523895;3174.8696718215942;3187.0037095546722,3193.3111419677734,3159.6325380802155;3171.774260997772;3183.992453098297,3196.3161120414734,3180.6116178035736,3208.3253087997437,3165.5985045433044;3174.7135157585144;3186.8197872638702,3196.2427475452423,3159.659044265747;3171.8377408981323;3180.962345600128,3196.310778617859
3251.0116941928864,3269.2635657787323,3223.7024297714233;3235.8765704631805;3247.996016740799,3260.2534482479095,3223.6721761226654;3235.809650659561;3247.9759583473206,3260.2127861976624,3244.530070066452,3269.2627403736115,3220.61093378067;3229.7374234199524;3241.8561470508575;3250.962525367737,3260.215708732605,3220.520567417145;3229.6727862358093;3241.8070652484894;3250.9391481876373,3260.20969414711
3318.0971660614014,3336.2765340805054,3281.596542596817;3293.8160316944122;3305.9426062107086;3318.0482099056244,3327.343318462372,3281.6412801742554;3293.7904086112976;3308.9446704387665,3327.337776184082,3308.508521080017,3336.2731251716614,3281.5659255981445;3293.7337398529053;3302.8689091205597;3314.970836162567,3327.263339281082,3278.478556394577;3290.6199548244476;3302.735286951065;3314.8270478248596,3327.349737405777
3388.0413506031036,3406.284411430359,3351.6354281902313;3363.7563996315002;3375.864119529724,3397.209140062332,3348.5616326332092;3363.7046320438385;3375.8484382629395,3397.2065846920013,3369.572991847992,3406.2832992076874,3348.659300327301;3360.770276069641;3372.886895418167,3394.2678093910217,3345.622102022171;3357.7516815662384;3366.8581035137177;3387.981221437454,3397.276063680649
