server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1175.07373380661,1184.341383934021,1159.8878417015076,1184.2992098331451,1159.7170021533966;1168.913194656372,1184.3402829170227,1159.7693769931793;1174.999808549881,1184.3350296020508,1159.872772693634;1175.0189344882965,1181.2904560565948,1156.775194644928;1165.9656376838684,1184.2973337173462
1208.8560552597046,1218.1391904354095,1196.5924434661865;1208.7673783302307,1218.1279487609863,1196.6674256324768;1208.7911539077759,1218.070125579834,1199.6290538311005;1208.7880628108978,1218.1330697536469,1199.6954836845398,1218.138025045395,1193.661342382431;1205.7970542907715,1218.104828119278
1245.7914876937866,1258.0295722484589,1230.60617685318;1245.738243341446,1258.0284538269043,1233.636702299118,1255.0723073482513,1227.4420762062073;1242.6357731819153,1252.0743658542633,1233.4347131252289;1245.550873041153,1255.0731327533722,1227.5088136196136;1239.6533687114716,1252.0690546035767
1282.6722362041473,1291.947845697403,1270.4051117897034;1282.6180670261383,1288.9345290660858,1270.3763880729675;1282.5777428150177,1291.946734905243,1273.3840684890747,1288.9523463249207,1273.3635494709015;1282.4809792041779,1291.8804259300232,1270.465752363205;1279.6461009979248,1291.9386081695557
1319.692687034607,1329.0188200473785,1307.4122185707092;1319.6421370506287,1328.9742782115936,1304.2611420154572;1316.5933701992035,1329.0176808834076,1307.4385800361633,1329.012217283249,1307.3495872020721;1319.6421339511871,1328.9419693946838,1304.377772808075;1313.5238869190216,1329.0060775279999
1353.756061553955,1365.969120979309,1344.4068632125854,1365.9683747291565,1341.4291846752167;1353.6324634552002,1362.9660964012146,1341.47092294693;1353.6998751163483,1363.0225536823273,1341.5250470638275;1353.7031071186066,1363.0272583961487,1338.4037199020386;1350.5635447502136,1360.0152139663696
1393.6950051784515,1402.9668409824371,1378.402000427246;1393.5967011451721,1402.9640407562256,1378.3247303962708;1390.505618095398,1402.9217092990875,1381.375298500061;1393.4999132156372,1402.9661056995392,1381.398547410965,1399.9619600772858,1378.420180797577;1390.583042383194,1399.9608938694
1430.5834486484528,1439.8780138492584,1415.3569667339325;1430.532322883606,1436.8736271858215,1415.4323143959045;1427.5445199012756,1439.87357711792,1412.234403848648;1424.3898046016693,1436.7981259822845,1415.451092004776,1439.8768365383148,1415.2715294361115;1427.4667904376984,1436.8412036895752
1467.4845969676971,1476.8086638450623,1455.348262310028,1476.7131533622742,1452.1841280460358;1464.363070487976,1476.8075168132782,1455.3071711063385;1467.433738708496,1476.797508239746,1455.2926211357117;1467.4201340675354,1476.8023777008057,1452.1536767482758;1461.3336548805237,1476.791035413742
1504.6588220596313,1513.9423043727875,1489.2594180107117;1501.5669133663177,1513.8472793102264,1489.4600820541382,1513.9360167980194,1489.1722736358643;1504.5462028980255,1513.8528094291687,1489.4215679168701;1504.6054623126984,1510.927669763565,1489.2808980941772;1498.5415427684784,1513.941133737564
1541.5240640640259,1550.8726317882538,1526.4068677425385;1538.548336982727,1550.8714716434479,1526.2249855995178;1541.465276479721,1550.8610548973083,1526.291851758957;1538.5206558704376,1550.8647248744965,1529.3239789009094,1550.8593430519104,1523.2346062660217;1535.4346516132355,1547.8532247543335
1575.5968453884125,1590.7905979156494,1563.3830659389496;1575.5211737155914,1581.8355720043182,1563.3250432014465;1575.4953536987305,1584.8464987277985,1566.2787096500397,1581.7780334949493,1563.2959551811218;1575.4606041908264,1590.7894325256348,1563.1759941577911;1572.3503024578094,1584.8409361839294
