server_fit,server_ev,supernode-5_fit,supernode-5_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev
930.23339676857,939.5171904563904,917.8619248867035;930.1717314720154,936.4463551044464,920.9778242111206,939.5165877342224,920.7803962230682;930.133109331131,939.4545719623566,929.8760526180267,939.5119740962982,917.867486000061;930.1717281341553,936.5047326087952
967.5269248485565,979.8604595661163,948.899252653122;967.473991394043,973.8534560203552,948.867018699646;958.1822431087494,973.8565530776978,948.8670222759247;958.149162530899;967.4739875793457,973.8550508022308,960.7957525253296,979.85977602005,948.7841460704803;955.0937283039093;967.4134602546692,973.8524610996246
998.6151397228241,1007.9302475452423,989.3112213611603,1007.9232647418976,986.2065536975861;998.5055494308472,1007.925858259201,989.1283445358276;998.5629975795746,1004.8512389659882,998.2425334453583,1007.9297711849213,989.275367975235;998.5629940032959,1007.9222731590271
1026.6463124752045,1035.9228146076202,1014.2667899131775;1026.5964939594269,1032.8579452037811,1014.2116467952728;1026.5318961143494,1032.9140779972076,1017.2965037822723;1026.5964906215668,1032.9131090641022,1026.230288028717,1032.8590190410614,1017.3294150829315,1035.9220156669617
1054.6493709087372,1063.9281911849976,1045.3367421627045,1063.9273257255554,1045.2760033607483;1054.5990538597107,1060.8962969779968,1045.302563905716;1051.5688843727112,1063.902515411377,1054.3162245750427,1063.8559288978577,1042.2435870170593;1054.5950767993927,1060.9194116592407
1092.059491634369,1101.2774159908295,1073.346610546112;1091.9794878959656,1101.2769832611084,1073.305485010147;1082.7588081359863,1095.311282634735,1073.2759058475494;1082.7234818935394;1091.9992361068726,1098.314036846161,1085.2605574131012,1098.2709357738495,1073.2606782913208;1082.6933884620667;1088.968845129013,1098.3131771087646
1129.2231330871582,1138.4094634056091,1107.576852798462;1119.8969733715057;1126.1269431114197,1135.5332548618317,1110.6340217590332;1129.1690185070038,1135.5355198383331,1110.5948090553284;1119.8718919754028;1129.1730225086212,1135.5371782779694,1122.6141378879547,1138.4088168144226,1110.5776855945587;1119.9311318397522,1135.4803020954132
1157.3100807666779,1166.5987741947174,1147.9507615566254;1157.2602276802063,1163.6092460155487,1147.897923707962;1157.2564895153046,1163.5958197116852,1147.946636915207;1154.2133479118347,1163.6017808914185,1156.9701070785522,1166.5981590747833,1147.988083600998,1163.6056323051453
1185.2911467552185,1194.5827050209045,1175.9615542888641;1185.2410116195679,1191.5738315582275,1175.866385936737;1185.218197107315,1191.5719559192657,1176.0303547382355,1191.5746505260468,1184.9962606430054,1194.5820791721344,1175.995964050293;1182.2398581504822,1191.5778450965881
1213.2670605182648,1222.558691740036,1200.9238905906677;1213.217584848404,1219.5461711883545,1200.929207086563;1213.2175884246826,1222.5546789169312,1203.8590059280396;1213.1619384288788,1222.4916939735413,1212.9199724197388,1222.5585405826569,1203.9038910865784,1219.4874804019928
1247.6142365932465,1256.8989741802216,1231.9432077407837;1238.2480759620667;1247.542085647583,1253.8894610404968,1229.126151561737;1241.2515621185303,1253.8885471820831,1231.9470303058624;1238.2309188842773;1247.5540628433228,1256.8984158039093,1240.9820029735565,1256.8941586017609,1232.156012058258;1244.5210931301117,1256.8328664302826
