server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1499.4742953777313,1508.7410144805908,1493.1126265525818,1505.7950155735016,1490.0606398582458;1499.358076095581,1505.7536308765411,1490.1881535053253,1505.7931473255157,1490.0655272006989;1499.413732290268,1505.7941405773163,1490.0608956813812;1499.4137353897095,1508.7404339313507
1527.5652923583984,1536.846709728241,1518.3636691570282,1533.837848186493,1518.3336708545685,1533.8408818244934,1518.1105754375458;1527.5170140266418,1533.8400406837463,1518.106173992157;1527.5170106887817,1533.8388397693634,1515.0961451530457;1527.4629492759705,1536.846513748169
1555.5963213443756,1564.9004986286163,1546.2221591472626;1555.4762234687805,1564.8203105926514,1543.220533132553;1555.546800851822,1564.8946166038513,1546.2790412902832,1561.8880579471588,1546.2790446281433,1564.8999223709106,1543.1960196495056;1555.546804189682,1561.8868453502655
1583.6809282302856,1589.9647362232208,1574.2909092903137;1583.6318578720093,1589.964347600937,1574.2768540382385;1583.6318609714508,1589.961323261261,1574.3457479476929,1586.9499661922455,1574.3457510471344,1589.9574072360992,1571.227055311203;1583.58411693573,1589.9563369750977
1608.603798866272,1617.827584028244,1599.265599489212;1608.553584575653,1614.8761332035065,1599.3406765460968,1614.8167777061462,1599.2965455055237;1608.5355167388916,1614.8752763271332,1602.3116850852966,1617.827391386032,1599.216279745102;1605.5525109767914,1614.8769176006317
1636.72416806221,1645.950379371643,1627.4323315620422,1643.0017220973969,1627.3387553691864;1636.6658954620361,1645.949790239334,1627.3905138969421;1636.6658985614777,1643.0025808811188,1630.0831232070923,1643.0009474754333,1627.3566665649414;1636.608772277832,1642.9418725967407
1664.702896118164,1673.9218978881836,1655.331971168518;1664.651324748993,1670.9620728492737,1658.3674976825714,1673.9212822914124,1652.2344057559967;1664.6482100486755,1670.9727702140808,1655.3809688091278,1670.9720168113708,1655.302948474884;1661.6001060009003,1670.971067905426
1692.5957984924316,1701.8551592826843,1683.2085185050964;1692.4871215820312,1701.8170862197876,1680.2630722522736;1692.5464403629303,1698.848829984665,1683.2349467277527;1692.5464372634888,1698.8479397296906,1683.2953114509583,1701.8545408248901,1683.2953083515167,1698.8100311756134
1720.573129415512,1729.849877357483,1714.2451167106628,1729.7936255931854,1711.1770570278168;1720.5240240097046,1726.8437662124634,1708.2295880317688;1720.4612576961517,1726.8413498401642,1711.2563049793243,1729.8492720127106,1711.1665184497833;1720.524020910263,1726.8427710533142
1751.7952032089233,1761.110891342163,1739.4406487941742;1751.7461743354797,1758.1033656597137,1739.4362773895264;1748.7593131065369,1761.1102249622345,1742.1601355075836,1758.1050140857697,1739.46173453331;1748.7226822376251,1758.1022288799286,1739.502967119217,1758.1041836738586
