server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1084.888308763504,1094.1609389781952,1075.5703370571136;1084.8379836082458,1091.0501911640167,1075.5430183410645;1084.8149099349976,1091.1522839069366,1075.6118352413177,1091.153523683548,1078.5082771778107,1094.1571984291077,1075.5109341144562;1081.8604595661163,1094.1604466438293
1112.8798785209656,1119.3009006977081,1103.5179979801178;1109.7991313934326,1119.2792751789093,1103.522569656372;1112.830488204956,1119.2989678382874,1103.5821542739868,1119.2981832027435,1100.5068373680115;1112.8265490531921,1119.2999293804169,1103.5821511745453,1119.3006916046143
1138.1008744239807,1147.3847374916077,1128.6752035617828;1138.0467026233673,1144.3790259361267,1128.702407360077;1134.9648079872131,1144.3781485557556,1128.7581267356873,1144.3771488666534,1128.6706519126892;1138.0505328178406,1144.3411078453064,1128.7581233978271,1147.3841166496277
1166.1205577850342,1172.4388794898987,1156.7607474327087;1166.0718092918396,1172.410031080246,1156.814285516739,1172.4357419013977,1156.8142821788788,1169.4304876327515,1156.7383060455322;1166.013509273529,1172.3851201534271,1153.71284866333;1166.0718128681183,1172.4386694431305
1191.3407382965088,1197.6328642368317,1181.7784776687622;1191.2470262050629,1197.6319139003754,1181.8439302444458,1197.6310260295868,1181.7830407619476;1191.2815313339233,1197.6326568126678,1181.8439333438873,1197.6120040416718,1178.7808020114899;1191.281534910202,1197.6301786899567
1216.3953018188477,1222.7338693141937,1207.0318629741669;1216.345556974411,1222.733618736267,1207.0355398654938;1216.2843298912048,1222.7252480983734,1207.071551322937,1222.7314434051514,1203.891048192978;1216.345554113388,1222.7288420200348,1207.07155418396,1222.720402956009
1241.3999395370483,1250.6968269348145,1232.118899345398,1247.6858785152435,1229.0521042346954;1238.3260083198547,1250.695838689804,1232.0570302009583;1241.3355197906494,1247.6877462863922,1232.050710439682;1241.3495934009552,1247.6868224143982,1232.118896484375,1250.696671962738
1269.4759423732758,1275.9516866207123,1260.1510481834412,1275.9415838718414,1260.1510508060455,1275.9512100219727,1260.1157848834991;1266.383199930191,1275.946233510971,1260.0682122707367;1269.425524711609,1275.9306528568268,1257.0562806129456;1269.4219427108765,1275.936075925827
1294.7229006290436,1301.0093727111816,1282.296424150467;1294.6728494167328,1301.008845090866,1285.4040293693542;1294.6544635295868,1300.9993765354156,1285.4402837753296,1300.993613243103,1285.4402809143066,1297.986839056015,1285.40403342247;1291.6412410736084,1301.004045009613
1319.7709004878998,1329.034812450409,1310.3692240715027;1316.693623304367,1326.0273520946503,1310.4351365566254;1319.6856005191803,1326.0254938602448,1310.4764573574066,1326.023812532425,1313.3852825164795,1329.034215927124,1310.4351332187653;1319.711534023285,1326.0058040618896
