server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
793.622410774231,802.9096500873566,784.3302917480469;790.5217111110687,799.9017293453217,784.3851735591888;793.5532855987549,802.9089159965515,784.27259349823;793.4643375873566,799.8997704982758,784.4405248165131,799.8872146606445,781.1717231273651;790.3612236976624,799.9007542133331
821.7026224136353,830.9891402721405,812.4825847148895;821.6514012813568,827.9830136299133,815.2132084369659,830.988932132721,809.2053513526917;815.5164625644684,827.9846911430359,812.1634569168091;821.6150946617126,827.9821572303772,812.3824009895325;821.6480259895325,827.9838638305664
849.6583876609802,855.9471271038055,840.5007545948029,855.9378757476807,840.4284484386444;846.5986618995667,855.9466550350189,840.3376476764679;849.5783793926239,855.9330894947052,840.4471399784088;849.6058881282806,855.9425446987152,837.3327357769012;846.5175316333771,855.9322364330292
874.641526222229,883.921014547348,865.2964506149292;871.5481398105621,883.9144928455353,865.3448684215546;874.5728628635406,883.9203417301178,865.474095582962,880.9049301147461,865.4167912006378;874.5846984386444,880.9070868492126,862.3078548908234;871.4886965751648,880.905876159668
905.4746329784393,914.8023886680603,893.2926588058472;902.4575960636139,911.7935943603516,893.1939792633057;905.4185037612915,914.8018097877502,896.3424534797668,914.7836861610413,893.3789212703705;902.5483777523041,911.7945761680603,893.3215012550354;902.5353615283966,911.7956018447876
933.5718173980713,942.8577935695648,924.2251183986664;933.5090980529785,939.8529405593872,921.1923916339874;927.4015762805939,942.8576273918152,921.218024969101;930.4397301673889,939.8498418331146,924.2484545707703;933.5052914619446,939.8519887924194,924.3148865699768,939.8511343002319
961.5971701145172,967.9261412620544,949.1860671043396;958.3768529891968,967.9257822036743,952.2872805595398;961.5212016105652,967.9197509288788,952.3469846248627;961.5419034957886,967.9134891033173,952.4203069210052,964.9076871871948,952.2557282447815;961.4145052433014,967.9234659671783
989.6552259922028,998.9412434101105,977.5674901008606,995.9295675754547,977.4497566223145;983.6412386894226,998.9361002445221,977.398585319519;989.60431599617,998.9405744075775,977.5181152820587;986.6748247146606,998.9350345134735,977.3753342628479;983.5366103649139,995.9286012649536
1017.8650884628296,1027.147006034851,1008.6037759780884;1017.8079128265381,1024.1411912441254,1008.5156054496765;1017.740739107132,1027.1463644504547,1008.6522896289825;1017.81196808815,1024.139303445816,1008.709602355957,1024.141993522644,1008.4877827167511;1017.6785864830017,1024.1403732299805
1048.7327053546906,1058.0233776569366,1036.5105621814728;1045.7670505046844,1055.0198380947113,1039.4697442054749;1048.6785788536072,1057.9923973083496,1039.5740113258362,1057.9890563488007,1039.5066385269165;1045.6838793754578,1058.0219867229462,1036.4892287254333;1042.7273452281952,1058.0231883525848
